,yr,stdg_cd,dat_no,jan,feb,mar,apr,may,jun,july,aug,sep,oct,nov,dec,qu_1,qu_2,qu_3,qu_4,ht_1,ht_2,yr_vl,frst_reg_dt,last_mdfcn_dt
40,2021,C270006,M00026009,,,,,,,,,,,,,,,,,,,6321,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
41,2021,C270005,M00026009,,,,,,,,,,,,,,,,,,,15398,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
42,2021,C270008,M00026009,,,,,,,,,,,,,,,,,,,6892,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
43,2021,C270009,M00026009,,,,,,,,,,,,,,,,,,,2596,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
44,2021,C270010,M00026009,,,,,,,,,,,,,,,,,,,2783,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
45,2021,C270011,M00026009,,,,,,,,,,,,,,,,,,,2442,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
46,2021,C270012,M00026009,,,,,,,,,,,,,,,,,,,630,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
47,2021,C270013,M00026009,,,,,,,,,,,,,,,,,,,27769,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
48,2021,C270014,M00026009,,,,,,,,,,,,,,,,,,,3194,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
49,2021,C270017,M00026009,,,,,,,,,,,,,,,,,,,3770,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
50,2021,C270016,M00026009,,,,,,,,,,,,,,,,,,,4858,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
51,2021,C270019,M00026009,,,,,,,,,,,,,,,,,,,5139,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
52,2021,C270018,M00026009,,,,,,,,,,,,,,,,,,,3795,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
53,2021,C270007,M00026009,,,,,,,,,,,,,,,,,,,4150,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
54,2021,C270022,M00026009,,,,,,,,,,,,,,,,,,,29,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
55,2021,C270020,M00026009,,,,,,,,,,,,,,,,,,,7086,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
56,2021,C270021,M00026009,,,,,,,,,,,,,,,,,,,1512,2023-07-17 17:54:56.801005,2023-07-17 17:54:56.801005
57,2021,C270001,M00026010,,,,,,,,,,,,,,,,,,,8424,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
58,2021,C270007,M00026010,,,,,,,,,,,,,,,,,,,264,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
59,2021,C270006,M00026010,,,,,,,,,,,,,,,,,,,400,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
60,2021,C270005,M00026010,,,,,,,,,,,,,,,,,,,1454,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
61,2021,C270011,M00026010,,,,,,,,,,,,,,,,,,,158,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
62,2021,C270008,M00026010,,,,,,,,,,,,,,,,,,,597,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
63,2021,C270009,M00026010,,,,,,,,,,,,,,,,,,,186,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
64,2021,C270010,M00026010,,,,,,,,,,,,,,,,,,,192,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
65,2021,C270012,M00026010,,,,,,,,,,,,,,,,,,,38,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
66,2021,C270014,M00026010,,,,,,,,,,,,,,,,,,,194,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
67,2021,C270013,M00026010,,,,,,,,,,,,,,,,,,,2431,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
68,2021,C270015,M00026010,,,,,,,,,,,,,,,,,,,296,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
69,2021,C270016,M00026010,,,,,,,,,,,,,,,,,,,433,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
70,2021,C270017,M00026010,,,,,,,,,,,,,,,,,,,318,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
71,2021,C270018,M00026010,,,,,,,,,,,,,,,,,,,382,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
72,2021,C270021,M00026010,,,,,,,,,,,,,,,,,,,143,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
73,2021,C270019,M00026010,,,,,,,,,,,,,,,,,,,393,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
74,2021,C270020,M00026010,,,,,,,,,,,,,,,,,,,529,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
75,2021,C270022,M00026010,,,,,,,,,,,,,,,,,,,16,2023-07-17 17:55:33.153787,2023-07-17 17:55:33.153787
