"yr","stdg_cd","dat_no","jan","feb","mar","apr","may","jun","july","aug","sep","oct","nov","dec","qu_1","qu_2","qu_3","qu_4","ht_1","ht_2","yr_vl","pd_se","frst_reg_dt","last_mdfcn_dt"
"2021","1154500000",M020014,,,,,,,,,,,,,,,,,,,7266,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","1156000000",M020014,,,,,,,,,,,,,,,,,,,9037,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","1159000000",M020014,,,,,,,,,,,,,,,,,,,16000,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","1162000000",M020014,,,,,,,,,,,,,,,,,,,36449,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","1165000000",M020014,,,,,,,,,,,,,,,,,,,5348,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","1168000000",M020014,,,,,,,,,,,,,,,,,,,8262,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","1171000000",M020014,,,,,,,,,,,,,,,,,,,7349,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","1174000000",M020014,,,,,,,,,,,,,,,,,,,8556,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2611000000",M020014,,,,,,,,,,,,,,,,,,,1294,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2614000000",M020014,,,,,,,,,,,,,,,,,,,2850,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2617000000",M020014,,,,,,,,,,,,,,,,,,,2247,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2620000000",M020014,,,,,,,,,,,,,,,,,,,3257,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2623000000",M020014,,,,,,,,,,,,,,,,,,,5483,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2626000000",M020014,,,,,,,,,,,,,,,,,,,3047,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2629000000",M020014,,,,,,,,,,,,,,,,,,,4574,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2632000000",M020014,,,,,,,,,,,,,,,,,,,3803,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2635000000",M020014,,,,,,,,,,,,,,,,,,,3796,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2638000000",M020014,,,,,,,,,,,,,,,,,,,5459,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2641000000",M020014,,,,,,,,,,,,,,,,,,,6634,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2644000000",M020014,,,,,,,,,,,,,,,,,,,3209,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2647000000",M020014,,,,,,,,,,,,,,,,,,,2674,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2650000000",M020014,,,,,,,,,,,,,,,,,,,2468,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2653000000",M020014,,,,,,,,,,,,,,,,,,,4964,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2671000000",M020014,,,,,,,,,,,,,,,,,,,2835,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2711000000",M020014,,,,,,,,,,,,,,,,,,,2943,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2714000000",M020014,,,,,,,,,,,,,,,,,,,7866,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2717000000",M020014,,,,,,,,,,,,,,,,,,,7468,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2720000000",M020014,,,,,,,,,,,,,,,,,,,9653,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2723000000",M020014,,,,,,,,,,,,,,,,,,,15558,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2726000000",M020014,,,,,,,,,,,,,,,,,,,7718,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2729000000",M020014,,,,,,,,,,,,,,,,,,,16772,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2771000000",M020014,,,,,,,,,,,,,,,,,,,4462,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2811000000",M020014,,,,,,,,,,,,,,,,,,,3962,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2814000000",M020014,,,,,,,,,,,,,,,,,,,922,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2817700000",M020014,,,,,,,,,,,,,,,,,,,7627,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2818500000",M020014,,,,,,,,,,,,,,,,,,,5333,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2820000000",M020014,,,,,,,,,,,,,,,,,,,5612,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2823700000",M020014,,,,,,,,,,,,,,,,,,,5624,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2824500000",M020014,,,,,,,,,,,,,,,,,,,2733,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2826000000",M020014,,,,,,,,,,,,,,,,,,,7841,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2871000000",M020014,,,,,,,,,,,,,,,,,,,1534,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2872000000",M020014,,,,,,,,,,,,,,,,,,,1385,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2911000000",M020014,,,,,,,,,,,,,,,,,,,4663,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2914000000",M020014,,,,,,,,,,,,,,,,,,,9675,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2915500000",M020014,,,,,,,,,,,,,,,,,,,4769,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2917000000",M020014,,,,,,,,,,,,,,,,,,,12828,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","2920000000",M020014,,,,,,,,,,,,,,,,,,,10305,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3011000000",M020014,,,,,,,,,,,,,,,,,,,12202,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3014000000",M020014,,,,,,,,,,,,,,,,,,,6856,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3017000000",M020014,,,,,,,,,,,,,,,,,,,21368,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3020000000",M020014,,,,,,,,,,,,,,,,,,,17325,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3023000000",M020014,,,,,,,,,,,,,,,,,,,6134,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3111000000",M020014,,,,,,,,,,,,,,,,,,,6017,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3114000000",M020014,,,,,,,,,,,,,,,,,,,9688,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3117000000",M020014,,,,,,,,,,,,,,,,,,,5195,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3120000000",M020014,,,,,,,,,,,,,,,,,,,4157,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3171000000",M020014,,,,,,,,,,,,,,,,,,,6667,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","3611031025",M020014,,,,,,,,,,,,,,,,,,,7404,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4111000000",M020014,,,,,,,,,,,,,,,,,,,33903,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4111100000",M020014,,,,,,,,,,,,,,,,,,,8220,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4111300000",M020014,,,,,,,,,,,,,,,,,,,10236,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4111500000",M020014,,,,,,,,,,,,,,,,,,,5297,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4111700000",M020014,,,,,,,,,,,,,,,,,,,10150,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4113000000",M020014,,,,,,,,,,,,,,,,,,,26833,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4113100000",M020014,,,,,,,,,,,,,,,,,,,13479,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4113300000",M020014,,,,,,,,,,,,,,,,,,,7365,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4113500000",M020014,,,,,,,,,,,,,,,,,,,5989,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4115000000",M020014,,,,,,,,,,,,,,,,,,,7286,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4117000000",M020014,,,,,,,,,,,,,,,,,,,6677,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4117100000",M020014,,,,,,,,,,,,,,,,,,,4518,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4117300000",M020014,,,,,,,,,,,,,,,,,,,2159,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4119000000",M020014,,,,,,,,,,,,,,,,,,,11292,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4121000000",M020014,,,,,,,,,,,,,,,,,,,3019,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4125000000",M020014,,,,,,,,,,,,,,,,,,,1905,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4127000000",M020014,,,,,,,,,,,,,,,,,,,21031,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4127100000",M020014,,,,,,,,,,,,,,,,,,,12438,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4127300000",M020014,,,,,,,,,,,,,,,,,,,8593,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4128000000",M020014,,,,,,,,,,,,,,,,,,,14173,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4128100000",M020014,,,,,,,,,,,,,,,,,,,7216,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4128500000",M020014,,,,,,,,,,,,,,,,,,,4440,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4128700000",M020014,,,,,,,,,,,,,,,,,,,2517,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4129000000",M020014,,,,,,,,,,,,,,,,,,,939,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4131000000",M020014,,,,,,,,,,,,,,,,,,,3620,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4133000000",M020014,,,,,,,,,,,,,,,,,,,16457,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4136000000",M020014,,,,,,,,,,,,,,,,,,,6552,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4137000000",M020014,,,,,,,,,,,,,,,,,,,6882,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4139000000",M020014,,,,,,,,,,,,,,,,,,,10256,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4141000000",M020014,,,,,,,,,,,,,,,,,,,3557,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4143000000",M020014,,,,,,,,,,,,,,,,,,,1410,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4145000000",M020014,,,,,,,,,,,,,,,,,,,3812,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4146000000",M020014,,,,,,,,,,,,,,,,,,,17807,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4146100000",M020014,,,,,,,,,,,,,,,,,,,6854,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4146300000",M020014,,,,,,,,,,,,,,,,,,,6674,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4146500000",M020014,,,,,,,,,,,,,,,,,,,4279,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4148000000",M020014,,,,,,,,,,,,,,,,,,,7829,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4150000000",M020014,,,,,,,,,,,,,,,,,,,5642,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4155000000",M020014,,,,,,,,,,,,,,,,,,,5575,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4157000000",M020014,,,,,,,,,,,,,,,,,,,5282,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4159000000",M020014,,,,,,,,,,,,,,,,,,,16323,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4161000000",M020014,,,,,,,,,,,,,,,,,,,8994,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4163000000",M020014,,,,,,,,,,,,,,,,,,,2769,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4165000000",M020014,,,,,,,,,,,,,,,,,,,3866,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4167000000",M020014,,,,,,,,,,,,,,,,,,,3054,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4180000000",M020014,,,,,,,,,,,,,,,,,,,1152,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4182000000",M020014,,,,,,,,,,,,,,,,,,,2005,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4183000000",M020014,,,,,,,,,,,,,,,,,,,3793,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4211000000",M020014,,,,,,,,,,,,,,,,,,,10628,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4213000000",M020014,,,,,,,,,,,,,,,,,,,12084,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4215000000",M020014,,,,,,,,,,,,,,,,,,,9315,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4217000000",M020014,,,,,,,,,,,,,,,,,,,1851,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4219000000",M020014,,,,,,,,,,,,,,,,,,,719,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4221000000",M020014,,,,,,,,,,,,,,,,,,,1971,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4223000000",M020014,,,,,,,,,,,,,,,,,,,2810,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4272000000",M020014,,,,,,,,,,,,,,,,,,,2310,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4273000000",M020014,,,,,,,,,,,,,,,,,,,1589,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4275000000",M020014,,,,,,,,,,,,,,,,,,,1400,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4276000000",M020014,,,,,,,,,,,,,,,,,,,1436,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4277000000",M020014,,,,,,,,,,,,,,,,,,,1253,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4278000000",M020014,,,,,,,,,,,,,,,,,,,944,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4279000000",M020014,,,,,,,,,,,,,,,,,,,821,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4280000000",M020014,,,,,,,,,,,,,,,,,,,687,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4281000000",M020014,,,,,,,,,,,,,,,,,,,1224,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4282000000",M020014,,,,,,,,,,,,,,,,,,,986,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4283000000",M020014,,,,,,,,,,,,,,,,,,,956,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4311000000",M020014,,,,,,,,,,,,,,,,,,,32227,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4311100000",M020014,,,,,,,,,,,,,,,,,,,3855,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4311200000",M020014,,,,,,,,,,,,,,,,,,,6501,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4311300000",M020014,,,,,,,,,,,,,,,,,,,12214,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4311400000",M020014,,,,,,,,,,,,,,,,,,,9657,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4313000000",M020014,,,,,,,,,,,,,,,,,,,8126,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4315000000",M020014,,,,,,,,,,,,,,,,,,,4587,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4372000000",M020014,,,,,,,,,,,,,,,,,,,1012,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4373000000",M020014,,,,,,,,,,,,,,,,,,,1194,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4374000000",M020014,,,,,,,,,,,,,,,,,,,1900,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4374500000",M020014,,,,,,,,,,,,,,,,,,,1450,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4375000000",M020014,,,,,,,,,,,,,,,,,,,2555,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4376000000",M020014,,,,,,,,,,,,,,,,,,,2082,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4377000000",M020014,,,,,,,,,,,,,,,,,,,3422,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4380000000",M020014,,,,,,,,,,,,,,,,,,,969,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4413000000",M020014,,,,,,,,,,,,,,,,,,,23303,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4413100000",M020014,,,,,,,,,,,,,,,,,,,9572,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4413300000",M020014,,,,,,,,,,,,,,,,,,,13731,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4415000000",M020014,,,,,,,,,,,,,,,,,,,3502,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4418000000",M020014,,,,,,,,,,,,,,,,,,,2686,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4420000000",M020014,,,,,,,,,,,,,,,,,,,10831,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4421000000",M020014,,,,,,,,,,,,,,,,,,,5655,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4423000000",M020014,,,,,,,,,,,,,,,,,,,4417,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4425000000",M020014,,,,,,,,,,,,,,,,,,,287,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4427000000",M020014,,,,,,,,,,,,,,,,,,,8021,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4471000000",M020014,,,,,,,,,,,,,,,,,,,2047,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4476000000",M020014,,,,,,,,,,,,,,,,,,,1773,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4477000000",M020014,,,,,,,,,,,,,,,,,,,1389,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4479000000",M020014,,,,,,,,,,,,,,,,,,,975,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4480000000",M020014,,,,,,,,,,,,,,,,,,,2941,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4481000000",M020014,,,,,,,,,,,,,,,,,,,1983,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4482500000",M020014,,,,,,,,,,,,,,,,,,,2419,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4511000000",M020014,,,,,,,,,,,,,,,,,,,24601,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4511100000",M020014,,,,,,,,,,,,,,,,,,,12562,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4511300000",M020014,,,,,,,,,,,,,,,,,,,12039,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4513000000",M020014,,,,,,,,,,,,,,,,,,,8290,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4514000000",M020014,,,,,,,,,,,,,,,,,,,8199,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4518000000",M020014,,,,,,,,,,,,,,,,,,,3122,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4519000000",M020014,,,,,,,,,,,,,,,,,,,2088,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4521000000",M020014,,,,,,,,,,,,,,,,,,,2063,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4571000000",M020014,,,,,,,,,,,,,,,,,,,3123,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4572000000",M020014,,,,,,,,,,,,,,,,,,,861,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4573000000",M020014,,,,,,,,,,,,,,,,,,,840,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4574000000",M020014,,,,,,,,,,,,,,,,,,,713,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4575000000",M020014,,,,,,,,,,,,,,,,,,,1154,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4577000000",M020014,,,,,,,,,,,,,,,,,,,813,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4579000000",M020014,,,,,,,,,,,,,,,,,,,1658,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4580000000",M020014,,,,,,,,,,,,,,,,,,,1478,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4611000000",M020014,,,,,,,,,,,,,,,,,,,5423,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4613000000",M020014,,,,,,,,,,,,,,,,,,,7309,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4615000000",M020014,,,,,,,,,,,,,,,,,,,6003,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4617000000",M020014,,,,,,,,,,,,,,,,,,,2810,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4623000000",M020014,,,,,,,,,,,,,,,,,,,3238,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4671000000",M020014,,,,,,,,,,,,,,,,,,,1164,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4672000000",M020014,,,,,,,,,,,,,,,,,,,1205,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4673000000",M020014,,,,,,,,,,,,,,,,,,,922,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4677000000",M020014,,,,,,,,,,,,,,,,,,,2157,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4678000000",M020014,,,,,,,,,,,,,,,,,,,1353,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4679000000",M020014,,,,,,,,,,,,,,,,,,,1358,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4680000000",M020014,,,,,,,,,,,,,,,,,,,1175,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4681000000",M020014,,,,,,,,,,,,,,,,,,,1078,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4682000000",M020014,,,,,,,,,,,,,,,,,,,2107,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4683000000",M020014,,,,,,,,,,,,,,,,,,,1942,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4684000000",M020014,,,,,,,,,,,,,,,,,,,2560,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4686000000",M020014,,,,,,,,,,,,,,,,,,,1173,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4687000000",M020014,,,,,,,,,,,,,,,,,,,1412,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4688000000",M020014,,,,,,,,,,,,,,,,,,,1084,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4689000000",M020014,,,,,,,,,,,,,,,,,,,1654,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4690000000",M020014,,,,,,,,,,,,,,,,,,,1136,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4691000000",M020014,,,,,,,,,,,,,,,,,,,1987,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4701400000",M020014,,,,,,,,,,,,,,,,,,,9007,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4701500000",M020014,,,,,,,,,,,,,,,,,,,6153,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4711000000",M020014,,,,,,,,,,,,,,,,,,,15160,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4713000000",M020014,,,,,,,,,,,,,,,,,,,9018,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4715000000",M020014,,,,,,,,,,,,,,,,,,,3840,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4717000000",M020014,,,,,,,,,,,,,,,,,,,5912,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4719000000",M020014,,,,,,,,,,,,,,,,,,,17360,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4721000000",M020014,,,,,,,,,,,,,,,,,,,3437,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4723000000",M020014,,,,,,,,,,,,,,,,,,,3086,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
"2021","4725000000",M020014,,,,,,,,,,,,,,,,,,,3473,M030004,2023-07-13 08:54:04.599,2023-07-13 08:54:04.599
