"yr","stdg_cd","dat_no","jan","feb","mar","apr","may","jun","july","aug","sep","oct","nov","dec","qu_1","qu_2","qu_3","qu_4","ht_1","ht_2","yr_vl","pd_se","frst_reg_dt","last_mdfcn_dt"
"2019","2714000000",M020011,,,,,,,,,,,,,,,,,,,13254,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4678000000",M020011,,,,,,,,,,,,,,,,,,,4250,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4476000000",M020011,,,,,,,,,,,,,,,,,,,5012,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","2632000000",M020011,,,,,,,,,,,,,,,,,,,10211,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","2638000000",M020011,,,,,,,,,,,,,,,,,,,13624,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","2872000000",M020011,,,,,,,,,,,,,,,,,,,1164,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4719000000",M020011,,,,,,,,,,,,,,,,,,,7406,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4413300000",M020011,,,,,,,,,,,,,,,,,,,7513,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4374000000",M020011,,,,,,,,,,,,,,,,,,,3837,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4717000000",M020011,,,,,,,,,,,,,,,,,,,9222,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4575000000",M020011,,,,,,,,,,,,,,,,,,,2398,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4159000000",M020011,,,,,,,,,,,,,,,,,,,13578,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4278000000",M020011,,,,,,,,,,,,,,,,,,,1897,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4886000000",M020011,,,,,,,,,,,,,,,,,,,3297,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
