yr,stdg_cd,M020008,M020009,M020010,M020011,M020012,M020013,M020014,M020015,M020016,M020017
2021,4113000000,23914,11508,12406,25880,46367,95980,26833,10767,16310,10971
2021,4113100000,14405,7257,7148,8864,14136,32820,13479,2670,8082,2349
2021,4113300000,4151,1846,2305,7500,12157,25591,7365,2150,4376,1863
2021,4113500000,5358,2405,2953,9516,20074,37540,5989,5947,3852,6759
2021,4115000000,6588,2943,3645,14362,25241,41024,7286,9230,4269,9401
2021,4117000000,10330,4957,5373,13312,25172,39679,6677,7038,3827,7477
2021,4117100000,7925,3940,3985,7060,13032,19998,4518,2445,2633,2315
2021,4117300000,2405,1017,1388,6252,12140,19669,2159,4593,1194,5162
2021,4119000000,39722,19785,19937,21964,38242,68057,11292,9498,6349,9779
2021,4121000000,6493,3126,3367,7841,14056,19558,3019,4008,1652,4025
2021,4122000000,33426,18804,14622,,,,,,,
2021,4125000000,4195,2325,1870,4681,7627,8546,1905,1509,917,1408
2021,4127000000,79928,44584,35344,15442,25645,71927,21031,8148,9484,6574
2021,4127100000,21243,10789,10454,8660,14377,38428,12438,2814,6102,2595
2021,4127300000,58685,33795,24890,6782,11268,33499,8593,5334,3382,3979
2021,4128000000,17620,8613,9007,26098,48975,83534,14173,13900,8272,15695
2021,4128100000,6780,3111,3669,13754,24663,39368,7216,7762,3605,8103
2021,4128500000,5969,3177,2792,6099,12014,27885,4440,2651,3225,3378
2021,4128700000,4871,2325,2546,6245,12298,16257,2517,3487,1442,4214
2021,4129000000,383,197,186,1417,2988,2909,939,416,587,460
2021,4131000000,2014,947,1067,4790,8834,14401,3620,2297,2067,2454
2021,4133000000,,,,13919,24171,66683,16457,17088,6214,11357
2021,4136000000,10268,5727,4541,16686,33247,43721,6552,10698,3292,10289
2021,4137000000,16053,8298,7755,4486,8078,28330,6882,6480,2863,4408
2021,4139000000,53394,31069,22325,9663,16580,52860,10256,13562,3045,8792
2021,4141000000,9890,4943,4947,7199,12965,20989,3557,4653,1895,4689
2021,4143000000,1549,730,819,3507,7265,10266,1410,2682,891,2505
2021,4145000000,3469,1756,1713,6571,12893,31420,3812,5473,2162,4915
2021,4146000000,24824,13586,11238,20735,47369,75720,17807,13180,9530,12809
2021,4146100000,13044,8162,4882,6336,12292,24997,6854,3086,3126,2520
2021,4146300000,6950,3372,3578,8500,19378,29608,6674,5822,3736,5988
2021,4146500000,4830,2052,2778,5899,15699,21087,4279,4272,2668,4301
2021,4148000000,14679,9875,4804,11277,21677,38580,7829,8594,3443,6908
2021,4150000000,9934,5736,4198,5806,11003,20782,5642,3331,3009,2551
2021,4155000000,17919,11068,6851,6765,12301,21058,5575,5083,2767,3972
2021,4157000000,26087,19011,7076,9620,19733,37360,5282,9645,2466,7949
2021,4159000000,52962,35918,17044,13578,26315,89160,16323,24262,5911,15899
2021,4161000000,16081,10346,5735,7459,16117,29777,8994,2500,3989,2186
2021,4163000000,9628,6786,2842,6973,13048,17524,2769,5603,1126,4260
2021,4165000000,16180,11860,4320,6081,10756,14587,3866,2073,1845,1437
2021,4167000000,4848,2880,1968,4734,8958,9485,3054,1228,1782,1112
2021,4180000000,1159,783,376,2843,4691,3787,1152,838,542,346
2021,4182000000,1465,626,839,3676,6391,5934,2005,444,1185,325
2021,4183000000,2217,954,1263,6269,11957,9667,3793,444,2896,410
2021,4200000000,,,,,,,,,,
2021,4211000000,5266,2678,2588,11104,20001,31563,10628,5243,7105,5697
2021,4213000000,4602,2295,2307,12454,21711,42464,12084,9486,7749,9613
2021,4215000000,3256,1633,1623,10813,18966,26485,9315,4309,5564,4365
2021,4217000000,1006,546,460,4615,7895,7797,1851,2376,874,1893
2021,4219000000,363,98,265,2875,4627,3866,719,1209,451,792
2021,4221000000,1464,842,622,4313,6904,8881,1971,2440,959,2395
2021,4223000000,876,500,376,4335,7163,7174,2810,1294,1227,883
2021,4272000000,1176,613,563,4391,7627,6124,2310,895,1342,519
2021,4273000000,995,520,475,3044,5631,3562,1589,320,986,238
2021,4275000000,389,142,247,3082,5147,3549,1400,518,743,317
2021,4276000000,682,300,382,3035,5084,4103,1436,442,870,318
2021,4277000000,389,107,282,2625,4256,3678,1253,698,626,411
2021,4278000000,942,541,401,2206,3897,2909,944,552,472,294
2021,4279000000,334,149,185,1356,2275,2194,821,432,376,140
2021,4280000000,411,209,202,1026,1804,1669,687,317,289,144
2021,4281000000,487,232,255,1571,2668,3097,1224,512,593,216
2021,4282000000,1540,1099,441,2006,3305,2498,986,351,548,262
2021,4283000000,404,209,195,2077,3569,2651,956,492,512,362
2021,4300000000,,,,,,,,,,
2021,4311000000,19889,10371,9518,25449,44860,99296,32227,19918,18539,18531
2021,4311100000,1611,666,945,6678,11703,14978,3855,3787,2413,3672
2021,4311200000,4579,2263,2316,7040,12087,22553,6501,4738,4378,4990
2021,4311300000,8116,4317,3799,6224,11415,36753,12214,6602,7286,6031
2021,4311400000,5583,3125,2458,5507,9655,24977,9657,4791,4462,3838
2021,4313000000,6899,4170,2729,10026,17624,24911,8126,5471,4549,4174
2021,4315000000,2110,997,1113,7426,13047,14572,4587,3324,2631,2779
2021,4372000000,715,351,364,2936,5005,2350,1012,342,563,207
2021,4373000000,938,540,398,3445,6242,3167,1194,444,652,389
2021,4374000000,1035,583,452,3837,6490,4126,1900,362,1032,281
2021,4374500000,1241,645,596,1664,2756,4132,1450,1088,576,712
2021,4375000000,9358,6135,3223,3186,5581,9902,2555,2830,919,1768
2021,4376000000,1262,769,493,3150,5612,4148,2082,183,1182,111
2021,4377000000,12922,9058,3864,4652,7936,11664,3422,2783,1508,1926
2021,4380000000,262,92,170,2405,4003,2369,969,284,535,219
2021,4400000000,,,,,,,,,,
2021,4413000000,28478,16038,12440,15609,27361,86196,23303,19144,13570,15598
2021,4413100000,12413,7107,5306,8096,14243,32507,9572,6002,6715,5494
2021,4413300000,16065,8931,7134,7513,13118,53689,13731,13142,6855,10104
2021,4415000000,2704,1373,1331,6208,11065,11080,3502,1712,2589,1650
2021,4418000000,3977,2949,1028,6186,10953,8556,2686,1705,1450,1252
2021,4420000000,28343,16697,11646,9585,16689,37401,10831,9987,4786,6613
2021,4421000000,6024,3288,2736,6994,13181,18105,5655,4749,2390,2515
2021,4423000000,5394,2648,2746,7553,12897,10876,4417,1390,2577,1311
2021,4425000000,262,114,148,1069,2023,2659,287,985,152,939
2021,4427000000,8028,5120,2908,6701,12503,19031,8021,4333,2539,1873
2021,4471000000,2783,1333,1450,3907,6782,4934,2047,350,1366,345
2021,4476000000,1627,817,810,5548,9959,4461,1773,411,1065,433
2021,4477000000,1754,1286,468,4851,8536,3353,1389,322,713,257
2021,4479000000,882,436,446,2653,4725,2238,975,183,543,155
2021,4480000000,3352,2152,1200,5475,10118,9607,2941,1654,1960,1421
2021,4481000000,3042,1998,1044,5596,10217,6192,1983,943,1085,809
2021,4482500000,1962,1361,601,4471,8230,6110,2419,721,1232,527
2021,4500000000,,,,,,,,,,
2021,4511000000,11509,5364,6145,22619,39889,75306,24601,13170,16316,13584
2021,4511100000,5497,2586,2911,12824,22091,38688,12562,6750,8984,7600
2021,4511300000,6012,2778,3234,9795,17798,36611,12039,6420,7332,5984
2021,4513000000,7774,4800,2974,12082,20658,27570,8290,6925,4360,5459
2021,4514000000,6205,3068,3137,13323,22945,28954,8199,6945,4495,6132
2021,4518000000,3475,2045,1430,8005,13417,8588,3122,1578,1611,1412
2021,4519000000,1278,508,770,5920,9996,6140,2088,1037,1282,1062
2021,4521000000,2382,1594,788,6872,11330,5570,2063,944,1047,843
2021,4571000000,4137,2400,1737,4345,7981,9353,3123,2322,1653,1424
2021,4572000000,447,168,279,2179,3731,1686,861,75,443,44
2021,4573000000,278,78,200,2123,3560,1863,840,142,480,106
2021,4574000000,459,177,282,1974,3285,1396,713,66,380,57
2021,4575000000,392,142,250,2657,4330,2205,1154,150,541,139
2021,4577000000,450,159,291,2500,4069,1557,813,75,441,69
2021,4579000000,1186,587,599,5133,8471,3583,1658,266,860,258
2021,4580000000,1075,591,484,4583,7547,3547,1478,365,737,387
2021,4600000000,,,,,,,,,,
2021,4611000000,4217,2422,1795,10078,16464,23451,5423,5928,3057,5678
2021,4613000000,6266,4330,1936,12034,21429,24329,7309,6005,3311,4682
2021,4615000000,2848,1283,1565,10428,17933,25047,6003,6446,3663,6173
2021,4617000000,3631,1965,1666,6824,10972,12177,2810,3110,1598,2447
2021,4623000000,2190,944,1246,4531,7887,13162,3238,4712,1047,2666
2021,4671000000,1258,600,658,3129,5475,2773,1164,254,687,213
2021,4672000000,589,313,276,2882,4561,2493,1205,131,635,106
2021,4673000000,276,90,186,2361,3793,2004,922,108,584,97
2021,4677000000,1308,799,509,7773,12495,4488,2157,328,1058,288
2021,4678000000,579,225,354,4510,7103,2827,1353,210,692,212
2021,4679000000,1112,482,630,4692,7328,4421,1358,1034,676,987
2021,4680000000,713,317,396,3815,6024,2654,1175,199,631,179
2021,4681000000,593,268,325,3537,5635,2474,1078,192,620,135
2021,4682000000,1802,1061,741,6194,9991,4685,2107,425,1085,415
2021,4683000000,5736,4148,1588,3838,6142,5705,1942,1576,1022,578
2021,4684000000,2148,1200,948,4130,6949,8814,2560,1338,1333,1013
2021,4686000000,862,459,403,3214,5083,2190,1173,86,529,75
2021,4687000000,1230,705,525,4025,6601,3880,1412,653,723,390
2021,4688000000,1297,755,542,3023,5173,2632,1084,405,527,258
2021,4689000000,2761,2261,500,4073,6978,3684,1654,222,840,203
2021,4690000000,1762,1427,335,3072,4837,2261,1136,136,563,109
2021,4691000000,981,666,315,3722,6088,3211,1987,0,736,0
2021,4700000000,,,,,,,,,,
2021,4701400000,4168,2643,1525,9726,17187,23800,9007,3998,4103,2840
2021,4701500000,3873,1993,1880,11328,19986,23768,6153,5326,3930,5450
2021,4711000000,8041,4636,3405,21054,37173,47568,15160,9324,8033,8290
2021,4713000000,15842,9611,6231,14364,24490,27212,9018,4575,5464,3919
2021,4715000000,3200,1830,1370,8125,13941,12663,3840,2481,2027,2270
2021,4717000000,1863,800,1063,9995,17276,17368,5912,2958,3676,2809
2021,4719000000,6098,3217,2881,9165,15753,50086,17360,9525,8908,8161
2021,4721000000,1212,522,690,6788,12432,8912,3437,1142,2036,1123
2021,4723000000,3819,2606,1213,7375,12581,10007,3086,1783,1726,1537
2021,4725000000,1340,557,783,8039,13697,7975,3473,910,1826,916
2021,4728000000,936,432,504,5757,9760,5544,2114,512,1360,554
2021,4729000000,14104,8099,6005,9880,18232,35158,14076,5003,8831,4928
2021,4772000000,595,436,159,2502,4231,1826,1015,37,502,33
2021,4773000000,730,377,353,6024,10112,3751,1844,175,1065,182
2021,4775000000,283,86,197,2538,4339,2225,974,271,599,103
2021,4776000000,355,109,246,1753,2897,1183,685,24,337,15
2021,4777000000,1256,959,297,4100,6531,2975,1336,96,957,82
2021,4782000000,1367,597,770,4226,7146,3086,1355,177,983,216
2021,4783000000,1975,1531,444,2523,4229,2383,910,361,432,302
2021,4784000000,1974,1465,509,3321,5607,3434,1697,73,954,51
2021,4785000000,4562,2935,1627,4014,7077,12136,4795,2262,2073,1745
2021,4790000000,721,282,439,4534,7826,4152,1388,822,736,794
2021,4792000000,467,152,315,3139,5270,2166,1081,183,551,60
2021,4793000000,1829,1559,270,4141,6478,4559,1752,608,931,318
2021,4794000000,229,180,49,520,916,1221,613,33,214,9
2021,4800000000,,,,,,,,,,
